,year,state_code,state,abs_gross_drain,abs_gross_gain,abs_net_drain,rel_gross_drain,rel_gross_gain,rel_net_drain,outmigration_rate,abs_stayers,abs_leavers,abs_entrants,rel_stayers,rel_leavers,rel_entrants
202,1980,AL,Alabama,7.17,18.97,-11.8,9.76,15.9,-6.14,44.65,19.69,26.86,38.66,27.64,37.4,43.54
203,1980,AK,Alaska,21.11,23.26,-2.15,23.16,19.21,3.95,47.52,19.22,40.33,42.48,21.08,44.24,40.29
204,1980,AZ,Arizona,10.81,13.12,-2.31,11.46,10.44,1.02,50.3,25.18,35.99,38.3,26.2,37.66,36.64
205,1980,AR,Arkansas,5.6,10.41,-4.81,9.64,4.39,5.25,55.24,19.57,25.17,29.98,26.67,36.31,31.06
206,1980,CA,California,3.89,4.5,-0.61,5.78,11.97,-6.19,26.64,38.81,42.7,43.31,30.46,36.24,42.43
207,1980,CO,Colorado,8.68,17.39,-8.71,9.01,19.96,-10.95,48.01,31.65,40.33,49.04,27.67,36.68,47.63
208,1980,CT,Connecticut,22.66,17.84,4.82,21.19,22.67,-1.48,37.43,31.06,53.72,48.9,24.06,45.25,46.73
209,1980,DE,Delaware,23.62,19.33,4.29,24.61,18.12,6.49,40.69,20.17,43.79,39.5,21.99,46.6,40.11
210,1980,FL,Florida,16.43,9.15,7.28,16.69,8.97,7.72,38.3,24.43,40.86,33.58,25.59,42.28,34.56
211,1980,GA,Georgia,9.57,23.62,-14.05,13.32,18.56,-5.24,35.18,18.6,28.17,42.22,27.31,40.63,45.87
212,1980,HI,Hawaii,12.92,15.86,-2.94,12.26,22.73,-10.47,36.35,35.7,48.62,51.56,27.56,39.82,50.29
213,1980,ID,Idaho,9.87,9.9,-0.03,9.46,9.12,0.34,59.9,30.34,40.21,40.24,26.33,35.79,35.45
214,1980,IL,Illinois,18.74,6.68,12.06,18.26,14.09,4.17,38.35,29.7,48.44,36.38,24.99,43.25,39.08
215,1980,IN,Indiana,20.59,7.02,13.57,22,6.66,15.34,36.74,20.81,41.4,27.83,23.91,45.91,30.57
216,1980,IA,Iowa,21.18,18.23,2.95,20.67,18.63,2.04,47.26,23.63,44.81,41.86,22.22,42.89,40.85
217,1980,KS,Kansas,13.19,10.13,3.06,12.06,15.39,-3.33,53.42,29.79,42.98,39.92,25.56,37.62,40.95
218,1980,KY,Kentucky,6.62,18.71,-12.09,7.6,9.45,-1.85,44.6,17.33,23.95,36.04,28.61,36.21,38.06
219,1980,LA,Louisiana,13.37,14.25,-0.88,15.53,13.01,2.52,34.4,22.08,35.45,36.33,26.65,42.18,39.66
220,1980,ME,Maine,13.26,26.42,-13.16,14.54,18.38,-3.84,41.56,21.07,34.33,47.49,25.95,40.49,44.33
221,1980,MD,Maryland,18.06,21.97,-3.91,19.3,19.52,-0.22,35.03,22.72,40.78,44.69,25.24,44.54,44.76
222,1980,MA,Massachusetts,15.94,24.51,-8.57,15.55,30.16,-14.61,36.51,33.72,49.66,58.23,26.32,41.87,56.48
223,1980,MI,Michigan,17.44,6.23,11.21,17.5,9.92,7.58,29.64,27.33,44.77,33.56,26.81,44.31,36.73
224,1980,MN,Minnesota,14.84,17.84,-3,14.86,19.42,-4.56,35.53,29.84,44.68,47.68,26.71,41.57,46.13
225,1980,MS,Mississippi,1.87,10.39,-8.52,2.83,7.22,-4.39,56.39,22.71,24.58,33.1,30.4,33.23,37.62
226,1980,MO,Missouri,15.96,12.67,3.29,16.55,12.14,4.41,43.42,23.63,39.59,36.3,24.81,41.36,36.95
227,1980,MT,Montana,9.53,4.89,4.64,8.28,8.24,0.04,53.59,33.16,42.69,38.05,27.56,35.84,35.8
228,1980,NE,Nebraska,14.41,11.68,2.73,13.71,13.2,0.51,51.63,27.78,42.19,39.46,24.92,38.63,38.12
229,1980,NV,Nevada,9.08,3.09,5.99,8.21,2.26,5.95,70.93,27.89,36.97,30.98,26.19,34.4,28.45
230,1980,NH,New Hampshire,16.98,21.04,-4.06,16.82,15.48,1.34,43.77,23.77,40.75,44.81,24.64,41.46,40.12
231,1980,NJ,New Jersey,21.74,9.99,11.75,19.42,14.61,4.81,37.75,30.69,52.43,40.68,24.66,44.08,39.27
232,1980,NM,New Mexico,10.35,25.69,-15.34,12.67,18.68,-6.01,54.04,19.13,29.48,44.82,25.15,37.82,43.83
233,1980,NY,New York,19.13,8.7,10.43,17.37,19.01,-1.64,38.72,33.86,52.99,42.56,25.26,42.63,44.27
234,1980,NC,North Carolina,10.22,19.88,-9.66,11.19,16.15,-4.96,34.22,20.16,30.38,40.04,28.17,39.36,44.32
235,1980,ND,North Dakota,11.2,11.42,-0.22,11.11,12.82,-1.71,62.01,28.56,39.76,39.98,25.1,36.21,37.92
236,1980,OH,Ohio,21.11,5.46,15.65,21.24,9.08,12.16,34.58,24.39,45.5,29.85,24.64,45.88,33.72
237,1980,OK,Oklahoma,9.88,6.38,3.5,9.69,7.57,2.12,49.01,27.53,37.41,33.91,27.25,36.94,34.82
238,1980,OR,Oregon,9.16,4.31,4.85,8.78,7.89,0.89,43.41,34.98,44.14,39.29,28.19,36.97,36.08
239,1980,PA,Pennsylvania,22.39,18.12,4.27,23.08,16.57,6.51,36.44,22.65,45.04,40.77,23.58,46.66,40.15
240,1980,RI,Rhode Island,18.09,19.15,-1.06,17.76,20.86,-3.1,43.72,29.09,47.18,48.24,24.24,42,45.1
241,1980,SC,South Carolina,7.13,19.5,-12.37,9.4,13.59,-4.19,41.72,18.43,25.56,37.93,28.07,37.47,41.66
242,1980,SD,South Dakota,15.87,12.9,2.97,14.77,13.91,0.86,61.57,25.34,41.21,38.24,22.9,37.67,36.81
243,1980,TN,Tennessee,10.79,19.32,-8.53,13.52,15.75,-2.23,38.45,18.44,29.23,37.76,26.8,40.32,42.55
244,1980,TX,Texas,7.17,13.57,-6.4,7.65,13.89,-6.24,26.02,28.9,36.07,42.47,30.01,37.66,43.9
245,1980,UT,Utah,10.71,6.35,4.36,10.4,12.62,-2.22,39.87,36.89,47.6,43.24,27.86,38.26,40.48
246,1980,VT,Vermont,15.21,33.93,-18.72,16.34,24.58,-8.24,47.42,19.95,35.16,53.88,24.26,40.6,48.84
247,1980,VA,Virginia,14.07,27.37,-13.3,15.2,23.86,-8.66,39.11,20.59,34.66,47.96,26.04,41.24,49.9
248,1980,WA,Washington,9.31,6.18,3.13,9.67,10.02,-0.35,40.94,34.56,43.87,40.74,28.04,37.71,38.06
249,1980,WV,West Virginia,7.35,17.46,-10.11,9.9,8.81,1.09,56.1,16.01,23.36,33.47,26.44,36.34,35.25
250,1980,WI,Wisconsin,21.15,15.7,5.45,21.15,15.02,6.13,32.82,25.1,46.25,40.8,25.05,46.2,40.07
251,1980,WY,Wyoming,11.77,3.2,8.57,10.67,7.23,3.44,63.97,30.75,42.52,33.95,25.18,35.85,32.41
252,1990,AL,Alabama,8.62,13.02,-4.4,8.39,10.15,-1.76,38.6,22.19,30.81,35.21,28.76,37.15,38.91
253,1990,AK,Alaska,18.67,19.69,-1.02,19.87,16.79,3.08,62.64,16.08,34.75,35.77,19.57,39.44,36.36
254,1990,AZ,Arizona,10.84,16.23,-5.39,10.7,8.01,2.69,44.04,19.71,30.55,35.94,27.29,37.99,35.3
255,1990,AR,Arkansas,8.54,7.37,1.17,9.68,0.27,9.41,47.45,18.55,27.09,25.92,27.41,37.09,27.68
256,1990,CA,California,1.39,9.04,-7.65,1.33,9.89,-8.56,26.26,33.12,34.51,42.16,31.65,32.98,41.54
257,1990,CO,Colorado,11.34,16.67,-5.33,11.27,16.28,-5.01,45.97,26.96,38.3,43.63,26.82,38.09,43.1
258,1990,CT,Connecticut,16.94,18.26,-1.32,16.19,22.17,-5.98,37.95,35.52,52.46,53.78,25.85,42.04,48.02
259,1990,DE,Delaware,23.33,15.57,7.76,23.23,15.86,7.37,45.23,23.45,46.78,39.02,21.5,44.73,37.36
260,1990,FL,Florida,11.36,8.7,2.66,12.09,5.05,7.04,36.86,25.14,36.5,33.84,27.53,39.62,32.58
261,1990,GA,Georgia,13.55,21.97,-8.42,15.22,16.17,-0.95,31.34,19.36,32.91,41.33,27.22,42.44,43.39
262,1990,HI,Hawaii,6.05,3.63,2.42,8.7,11.2,-2.5,40.08,37.18,43.23,40.81,28.51,37.21,39.71
263,1990,ID,Idaho,10.78,8.3,2.48,10.57,6.94,3.63,55.22,24.91,35.69,33.21,26.17,36.74,33.11
264,1990,IL,Illinois,13.51,11.18,2.33,13.29,16.59,-3.3,38.91,30.61,44.12,41.79,26.82,40.11,43.41
265,1990,IN,Indiana,16.79,10.81,5.98,16.75,8.35,8.4,37.62,21.62,38.41,32.43,25.69,42.44,34.04
266,1990,IA,Iowa,18.38,15.18,3.2,18.79,17.12,1.67,46.34,25.76,44.14,40.94,23.28,42.07,40.4
267,1990,KS,Kansas,9.44,10.48,-1.04,9.58,12.82,-3.24,50.66,28.53,37.97,39.01,27.15,36.73,39.97
268,1990,KY,Kentucky,11.55,15.13,-3.58,13.76,8.33,5.43,38.59,18.17,29.72,33.3,26.69,40.45,35.02
269,1990,LA,Louisiana,13.23,15.1,-1.87,14.06,11.28,2.78,33.82,19.61,32.84,34.71,27.23,41.29,38.51
270,1990,ME,Maine,13.93,21.88,-7.95,14.21,13.38,0.83,35.97,22.54,36.47,44.42,26.89,41.1,40.27
271,1990,MD,Maryland,17.71,22.73,-5.02,17.97,18.75,-0.78,35.93,23.82,41.53,46.55,25.53,43.5,44.28
272,1990,MA,Massachusetts,10.85,23.75,-12.9,11.13,29.31,-18.18,37.52,37.49,48.34,61.24,27.82,38.95,57.13
273,1990,MI,Michigan,15.22,9.04,6.18,15.04,9.77,5.27,32.13,25.74,40.96,34.78,27.16,42.2,36.93
274,1990,MN,Minnesota,15.17,17.14,-1.97,15.85,18.33,-2.48,32.56,29.53,44.7,46.67,26.83,42.68,45.16
275,1990,MS,Mississippi,4.63,8.98,-4.35,5.2,6.21,-1.01,47.4,22.05,26.68,31.03,29.53,34.73,35.74
276,1990,MO,Missouri,15.54,12.94,2.6,15.75,11.81,3.94,39.93,24.18,39.72,37.12,25.71,41.46,37.52
277,1990,MT,Montana,12.9,9.02,3.88,12.7,8.43,4.27,53.05,25.38,38.28,34.4,25.27,37.97,33.7
278,1990,NE,Nebraska,12.94,9.89,3.05,13.3,11.45,1.85,47.93,27.87,40.81,37.76,25.62,38.92,37.07
279,1990,NV,Nevada,12.18,4,8.18,13.51,0.26,13.25,56.15,20.76,32.94,24.76,24.43,37.94,24.69
280,1990,NH,New Hampshire,17.07,18.95,-1.88,17.47,12.47,5,42.32,25.25,42.32,44.2,24.62,42.09,37.09
281,1990,NJ,New Jersey,16.33,13.24,3.09,14.01,16.88,-2.87,40.42,34.31,50.64,47.55,26.33,40.34,43.21
282,1990,NM,New Mexico,13.22,21.63,-8.41,14.21,17.23,-3.02,50.56,18.97,32.19,40.6,24.81,39.02,42.04
283,1990,NY,New York,15.29,13.33,1.96,14.28,22.95,-8.67,40.56,37.06,52.35,50.39,26.2,40.48,49.15
284,1990,NC,North Carolina,12.13,16.96,-4.83,12.01,13.35,-1.34,29.95,23.27,35.4,40.23,28.39,40.4,41.74
285,1990,ND,North Dakota,8.58,6.5,2.08,10.28,11.14,-0.86,56.66,32.23,40.81,38.73,26.18,36.46,37.32
286,1990,OH,Ohio,17.35,10.98,6.37,17.26,11.52,5.74,35.37,24.08,41.43,35.06,25.89,43.15,37.41
287,1990,OK,Oklahoma,12.65,6.19,6.46,12.67,6.98,5.69,42.35,24.99,37.64,31.18,26.63,39.3,33.61
288,1990,OR,Oregon,9.65,11.5,-1.85,9.35,8.34,1.01,40.04,25.92,35.57,37.42,28.26,37.61,36.6
289,1990,PA,Pennsylvania,20.21,15.83,4.38,20.1,15.68,4.42,34.61,27.48,47.69,43.31,25.03,45.13,40.71
290,1990,RI,Rhode Island,15.01,17.11,-2.1,14.48,17.91,-3.43,43.71,32.13,47.14,49.24,25.67,40.15,43.58
291,1990,SC,South Carolina,10.15,16.06,-5.91,11.22,11.97,-0.75,35.38,21.37,31.52,37.43,28.03,39.25,40
292,1990,SD,South Dakota,13.39,8.92,4.47,13.89,9.17,4.72,57.86,26.39,39.78,35.31,23.96,37.85,33.13
293,1990,TN,Tennessee,12.85,14.71,-1.86,13.92,10.95,2.97,34.87,19.86,32.71,34.57,27.14,41.06,38.09
294,1990,TX,Texas,7.32,15.75,-8.43,7.66,12.33,-4.67,26.18,25.04,32.36,40.79,29.99,37.65,42.32
295,1990,UT,Utah,10.6,9.18,1.42,10.8,10.22,0.58,37.1,28.77,39.37,37.95,28,38.8,38.22
296,1990,VT,Vermont,16.31,27.2,-10.89,16.85,19.04,-2.19,43.12,21.82,38.13,49.02,24.72,41.57,43.76
297,1990,VA,Virginia,15.63,25.13,-9.5,16.93,20.19,-3.26,38.09,21.19,36.82,46.32,25.54,42.47,45.73
298,1990,WA,Washington,6.94,8.72,-1.78,7.33,9.82,-2.49,36.68,30.52,37.46,39.24,29.31,36.64,39.13
299,1990,WV,West Virginia,9.16,13.87,-4.71,10.49,6.27,4.22,52.36,17.29,26.45,31.16,26.5,36.99,32.77
300,1990,WI,Wisconsin,21.08,11.95,9.13,21.47,11.96,9.51,31.74,26.17,47.25,38.12,25.18,46.65,37.14
301,1990,WY,Wyoming,13.79,9.28,4.51,13.96,8.46,5.5,63.56,22.85,36.64,32.13,23.15,37.11,31.61
302,2000,AL,Alabama,12.51,12.95,-0.44,12.72,10.31,2.41,34.11,21.47,33.98,34.42,27.67,40.39,37.98
303,2000,AK,Alaska,15.4,13.55,1.85,17.1,10.1,7,56.8,18.85,34.25,32.4,22.27,39.37,32.37
304,2000,AZ,Arizona,15.02,16.83,-1.81,15.69,9.71,5.98,39.59,19,34.02,35.83,25.78,41.47,35.49
305,2000,AR,Arkansas,10.46,2.02,8.44,12.76,-3.86,16.62,40.68,19.17,29.63,21.19,26.84,39.6,22.98
306,2000,CA,California,0.83,14.86,-14.03,0.86,12.97,-12.11,33.19,30.42,31.25,45.28,31.72,32.58,44.69
307,2000,CO,Colorado,9.51,19.2,-9.69,9.57,19.29,-9.72,44.33,28.68,38.19,47.88,27.77,37.34,47.06
308,2000,CT,Connecticut,19.1,21.47,-2.37,18.07,25.65,-7.58,41.58,33.04,52.14,54.51,24.5,42.57,50.15
309,2000,DE,Delaware,21.98,16.71,5.27,23.14,19.09,4.05,48.61,23.41,45.39,40.12,20.86,44,39.95
310,2000,FL,Florida,12.64,10.08,2.56,13.24,4.31,8.93,37.66,22.75,35.39,32.83,27.02,40.26,31.33
311,2000,GA,Georgia,15.52,23.52,-8,17.31,17.3,0.01,29.24,19.49,35.01,43.01,26.94,44.25,44.24
312,2000,HI,Hawaii,14.63,11.4,3.23,15.82,15.31,0.51,47.42,29.02,43.65,40.42,24.51,40.33,39.82
313,2000,ID,Idaho,14.39,8.94,5.45,13.3,6.3,7,52.67,22.9,37.29,31.84,25.03,38.33,31.33
314,2000,IL,Illinois,11.61,16.77,-5.16,12.16,21.45,-9.29,40.65,31.3,42.91,48.07,27.06,39.22,48.51
315,2000,IN,Indiana,14.89,11.03,3.86,15.84,10,5.84,37.17,23.84,38.73,34.87,26.12,41.96,36.12
316,2000,IA,Iowa,17.32,11.63,5.69,18.65,15.37,3.28,44.91,29.6,46.92,41.23,23.65,42.3,39.02
317,2000,KS,Kansas,11.26,12.86,-1.6,11.51,15.78,-4.27,49.73,29.39,40.65,42.25,26.28,37.79,42.06
318,2000,KY,Kentucky,12.31,8.9,3.41,14.14,5.25,8.89,33.09,21.53,33.84,30.43,27.31,41.45,32.56
319,2000,LA,Louisiana,18.17,14.08,4.09,19.52,9.8,9.72,33.07,18.53,36.7,32.61,25.55,45.07,35.35
320,2000,ME,Maine,15.29,22.34,-7.05,14.76,16.07,-1.31,40.02,23.61,38.9,45.95,26.18,40.94,42.25
321,2000,MD,Maryland,17.35,24.4,-7.05,17.67,20.04,-2.37,38.86,23.63,40.98,48.03,25.14,42.81,45.18
322,2000,MA,Massachusetts,10.76,27.92,-17.16,10.38,33.3,-22.92,39.39,36.54,47.3,64.46,27.91,38.29,61.21
323,2000,MI,Michigan,16,11.03,4.97,15.54,10.82,4.72,31.7,26.03,42.03,37.06,27.07,42.61,37.89
324,2000,MN,Minnesota,14.99,16.49,-1.5,16.57,20.97,-4.4,31,33.27,48.26,49.76,26.88,43.45,47.85
