subject_id,loc_plot1_lat,loc_plot1_long
1000,41.8755616,-87.6244212
1002,33.7494951,-117.8732213
1005,40.7127281,-74.0060152
1006,40.7127281,-74.0060152
1010,40.7127281,-74.0060152
1013,42.81909025,-78.83371748
1014,42.81909025,-78.83371748
1015,42.81909025,-78.83371748
1016,42.81909025,-78.83371748
1017,42.81909025,-78.83371748
1018,42.81909025,-78.83371748
1019,40.7127281,-74.0060152
1020,38.8462236,-77.3063733
1021,38.8051095,-77.0470229
1022,38.8051095,-77.0470229
1023,38.8051095,-77.0470229
1024,38.8051095,-77.0470229
1025,38.8051095,-77.0470229
1026,38.8051095,-77.0470229
1027,38.8051095,-77.0470229
1028,38.8051095,-77.0470229
1029,38.3031837,-77.4605399
1031,38.8903961,-77.0841585
1035,40.7127281,-74.0060152
1036,40.7127281,-74.0060152
1039,34.0536909,-118.242766
1040,34.0536909,-118.242766
1041,34.0536909,-118.242766
1042,38.6779591,-121.1760583
1043,33.8358492,-118.3406288
1046,41.6529143,-83.5378173
1048,33.7489924,-84.3902644
1049,34.02332,-84.360022
1050,25.7741728,-80.19362
1051,25.7741728,-80.19362
1052,25.7741728,-80.19362
1053,25.7741728,-80.19362
1054,25.7741728,-80.19362
1055,25.7741728,-80.19362
1056,25.7741728,-80.19362
1058,39.9348351,-75.0307264
1059,39.9348351,-75.0307264
1061,39.9348351,-75.0307264
1063,40.7127281,-74.0060152
1076,38.9464996,-77.1588685
1079,38.882334,-77.1710914
1080,47.1086912,-122.5549795
1081,45.5202471,-122.6741949
1082,45.5202471,-122.6741949
1083,45.5202471,-122.6741949
1084,45.5202471,-122.6741949
1085,45.5202471,-122.6741949
1087,45.5202471,-122.6741949
1088,42.2713945,-89.093966
1089,33.4484367,-112.0741417
1091,42.3602534,-71.0582912
1094,40.7498243,-73.7976337
1095,40.7127281,-74.0060152
1097,39.2908816,-76.610759
1099,32.9481789,-96.7297206
1100,32.9481789,-96.7297206
1101,32.9481789,-96.7297206
1103,32.9481789,-96.7297206
1104,32.9481789,-96.7297206
1105,42.3315509,-83.0466403
1106,40.7127281,-74.0060152
1109,32.7762719,-96.7968559
1110,39.7990175,-89.6439575
1111,42.3834278,-71.4161725
1113,44.9772995,-93.2654692
1114,44.9772995,-93.2654692
1115,44.9772995,-93.2654692
1116,44.9772995,-93.2654692
1117,44.9772995,-93.2654692
1118,44.9772995,-93.2654692
1119,44.9772995,-93.2654692
1121,44.9772995,-93.2654692
1122,44.9772995,-93.2654692
1123,44.9772995,-93.2654692
1124,44.9772995,-93.2654692
1125,44.9772995,-93.2654692
1126,44.9772995,-93.2654692
1127,41.8755616,-87.6244212
1128,41.8755616,-87.6244212
1129,44.9772995,-93.2654692
1132,44.0234387,-92.4630182
1135,44.9772995,-93.2654692
1136,33.7489924,-84.3902644
1137,35.2272086,-80.8430827
1139,40.3909328,-75.4921249
1140,39.2465755,-106.2953621
1141,38.8462236,-77.3063733
1142,40.7127281,-74.0060152
1143,38.8949924,-77.0365581
1160,31.20143875,-97.77175781
1161,45.5202471,-122.6741949
1162,39.2908816,-76.610759
1163,38.8051095,-77.0470229
1164,38.8949924,-77.0365581
1166,38.8051095,-77.0470229
1167,38.8949924,-77.0365581
1169,34.7464809,-92.2895948
1170,41.5034271,-74.0104179
1171,40.8466508,-73.8785937
1172,41.5034271,-74.0104179
1173,41.5034271,-74.0104179
1174,38.5228755,-77.2901863
1175,38.5228755,-77.2901863
1176,38.5228755,-77.2901863
1178,38.5228755,-77.2901863
1179,38.5228755,-77.2901863
1181,38.5228755,-77.2901863
1182,40.85149705,-73.09942581
1191,58.7551615,-156.519247
1193,40.7127281,-74.0060152
1200,40.5834557,-74.1496048
1201,38.8903961,-77.0841585
1203,41.8755616,-87.6244212
2001,42.3602534,-71.0582912
2002,40.7127281,-74.0060152
2003,40.7127281,-74.0060152
2010,39.6852191,-75.7508289
2011,42.4250964,-71.066163
2012,39.9622601,-83.0007065
2013,39.9622601,-83.0007065
2018,41.8755616,-87.6244212
2019,41.8755616,-87.6244212
2021,40.6501038,-73.9495823
2023,33.5635206,-101.879336
2025,27.9477595,-82.458444
2026,30.0929491,-96.0806548
2027,41.5051613,-81.6934446
2029,32.7174202,-117.1627728
2031,40.7127281,-74.0060152
2034,47.6038321,-122.3300624
2042,39.2908816,-76.610759
2048,39.9622601,-83.0007065
2049,40.7127281,-74.0060152
2050,26.1223084,-80.1433786
2051,29.7589382,-95.3676974
2052,32.7174202,-117.1627728
2055,32.7174202,-117.1627728
2056,32.7174202,-117.1627728
2057,44.9772995,-93.2654692
2061,47.6038321,-122.3300624
2062,35.9131542,-79.05578
2065,29.7589382,-95.3676974
2066,44.9772995,-93.2654692
2067,32.7174202,-117.1627728
2068,42.3222599,-83.1763145
2071,47.6038321,-122.3300624
2072,47.6038321,-122.3300624
2100,41.0336768,-79.2514282
2101,42.3222599,-83.1763145
2103,47.6571934,-117.4235106
2106,38.8903961,-77.0841585
2107,31.20143875,-97.77175781
2108,40.6501038,-73.9495823
2109,38.8949924,-77.0365581
2111,40.7127281,-74.0060152
2112,39.1044123,-76.8669233
2113,33.5206824,-86.8024326
2114,38.8051095,-77.0470229
2120,25.7741728,-80.19362
2121,27.6886419,-82.5723193
2124,35.7803977,-78.6390989
2126,39.2908816,-76.610759
2127,41.6529143,-83.5378173
2130,25.8575963,-80.2781057
2152,34.5399962,-112.4687616
2170,40.6501038,-73.9495823
2191,42.3369816,-83.2732627
2193,42.3315509,-83.0466403
2194,42.3222599,-83.1763145
2200,42.3315509,-83.0466403
2202,42.3222599,-83.1763145
2204,42.3315509,-83.0466403
2213,42.3315509,-83.0466403
2231,37.3361905,-121.890583
2232,40.7127281,-74.0060152
2233,44.9772995,-93.2654692
2234,40.6501038,-73.9495823
2235,42.3315509,-83.0466403
2237,44.9772995,-93.2654692
2238,47.2495798,-122.4398746
2239,58.7551615,-156.519247
2240,41.311367,-105.591101
2241,40.6501038,-73.9495823
2243,39.100105,-94.5781416
2251,40.7127281,-74.0060152
3000,45.5202471,-122.6741949
3007,45.5202471,-122.6741949
3009,40.85149705,-73.09942581
3010,40.85149705,-73.09942581
3018,44.0505054,-123.0950506
3021,40.7596198,-111.8867975
3022,32.2228765,-110.9748477
3023,45.2864689,-122.3342596
3024,45.5202471,-122.6741949
3033,40.7596198,-111.8867975
3038,44.9772995,-93.2654692
3042,40.5664878,-111.838904
3043,35.1490215,-90.0516285
3049,35.1490215,-90.0516285
3050,35.4729886,-97.5170536
3053,35.1490215,-90.0516285
3059,40.5621704,-111.929658
3060,37.7790262,-122.4199061
3064,45.636623,-89.412075
3066,47.0451022,-122.8950075
3068,39.7048155,-104.9335083
3074,40.5621704,-111.929658
3077,45.636623,-89.412075
3078,34.0536909,-118.242766
3087,44.0505054,-123.0950506
3089,39.7392364,-104.9848623
3098,47.6038321,-122.3300624
3101,44.4765528,-122.8208013
3102,46.1036879,-123.2048168
3104,47.6038321,-122.3300624
3105,40.2170575,-74.7429463
3106,38.8598295,-121.3423921
3107,44.0505054,-123.0950506
3108,45.5202471,-122.6741949
3109,42.7355416,-84.4852469
3112,38.5810606,-121.4938951
3114,44.2726203,-121.1739212
3116,47.6038321,-122.3300624
3117,42.3315509,-83.0466403
3118,47.6038321,-122.3300624
3119,44.0505054,-123.0950506
3123,46.5927425,-112.036277
3124,42.9783924,-78.7997616
3125,30.2711286,-97.7436995
3126,37.6922361,-97.3375448
3127,38.8949924,-77.0365581
3128,38.5810606,-121.4938951
3132,47.9673056,-122.2013998
3134,38.7014389,-90.1487199
3136,38.8949924,-77.0365581
3137,36.8462923,-76.2929252
3138,38.8949924,-77.0365581
3139,43.0481221,-76.1474244
3143,38.8114364,-89.953157
3146,36.7183708,-76.2466798
3148,38.5810606,-121.4938951
3150,43.07943,-72.4259189
3153,36.8462923,-76.2929252
3154,38.8949924,-77.0365581
3159,33.7489924,-84.3902644
3160,38.8949924,-77.0365581
3161,35.0841034,-106.6509851
3163,33.5801103,-85.0766113
3165,41.8755616,-87.6244212
3168,37.6922361,-97.3375448
3169,28.5421109,-81.3790304
3171,37.6922361,-97.3375448
3173,29.7589382,-95.3676974
3175,28.5421109,-81.3790304
3176,35.4094178,-80.5800049
3180,30.421309,-87.2169149
3182,30.421309,-87.2169149
3184,32.7174202,-117.1627728
3185,40.040739,-75.49284449
3187,27.7477253,-97.4014129
3200,34.0536909,-118.242766
3203,41.6529143,-83.5378173
3207,41.7950525,-87.9751964
3213,42.8867166,-78.8783922
3215,43.0349931,-87.922497
3216,40.7127281,-74.0060152
3218,30.421309,-87.2169149
3221,36.8462923,-76.2929252
3224,40.4418068,-79.8819609
3228,30.421309,-87.2169149
3231,32.7174202,-117.1627728
3236,33.4484367,-112.0741417
3237,42.3602534,-71.0582912
3239,37.6922361,-97.3375448
3240,37.6922361,-97.3375448
3241,37.6922361,-97.3375448
3246,33.7489924,-84.3902644
3248,30.421309,-87.2169149
3250,39.8526124,-75.3826921
3251,30.421309,-87.2169149
3255,40.040739,-75.49284449
3257,33.7489924,-84.3902644
3258,39.9527237,-75.1635262
3259,33.7489924,-84.3902644
3262,33.7489924,-84.3902644
3263,30.6430036,-84.57691688
3273,35.9603948,-83.9210261
3281,37.6922361,-97.3375448
3285,39.1014537,-84.5124602
3289,40.7127281,-74.0060152
3290,29.7589382,-95.3676974
3291,30.421309,-87.2169149
3293,30.421309,-87.2169149
3294,47.4234599,-120.3103494
3296,30.421309,-87.2169149
3307,37.6922361,-97.3375448
3312,37.3361905,-121.890583
3316,37.6922361,-97.3375448
3318,42.8867166,-78.8783922
3320,28.5421109,-81.3790304
3329,37.6922361,-97.3375448
3331,42.8867166,-78.8783922
3336,40.3295547,-74.0615285
3341,40.7127281,-74.0060152
3346,40.7266477,-73.6343052
3347,35.9603948,-83.9210261
3348,40.666149,-89.5800978
3351,32.229724,-95.39469049
3354,32.2990384,-90.1847691
3355,30.421309,-87.2169149
3356,38.882334,-77.1710914
3357,29.7589382,-95.3676974
3358,43.0481221,-76.1474244
3363,37.270973,-79.9414313
3364,41.5051613,-81.6934446
3367,35.6150716,-87.0352831
3372,28.2441768,-82.7192671
3374,35.6144446,-88.8177418
3375,32.2228765,-110.9748477
3381,33.6680772,-117.3272615
3382,32.2990384,-90.1847691
3388,35.6150716,-87.0352831
3391,34.6183433,-79.0083993
3393,39.7683331,-86.1583502
3395,32.2228765,-110.9748477
3399,31.5455709,-110.2772249
3405,35.6150716,-87.0352831
3409,40.7596198,-111.8867975
3411,35.4729886,-97.5170536
3413,29.7589382,-95.3676974
3415,44.0505054,-123.0950506
3416,33.4484367,-112.0741417
3423,38.029306,-78.4766781
3424,44.0505054,-123.0950506
3425,34.2055857,-112.3384991
3426,30.4764878,-96.6353488
3427,39.6852191,-75.7508289
3428,39.1014537,-84.5124602
3432,40.7596198,-111.8867975
3434,32.7762719,-96.7968559
3436,38.23136,-85.644343
3437,37.2621687,-119.7009834
3441,33.4484367,-112.0741417
3443,36.1672559,-115.1485163
3445,37.2621687,-119.7009834
3446,35.7803977,-78.6390989
3447,33.6783336,-118.0000166
3448,36.1556805,-95.9929113
3451,32.7666103,-96.599472
3452,45.5202471,-122.6741949
3453,33.4484367,-112.0741417
3456,45.5202471,-122.6741949
3457,41.7988074,-69.99601347
3458,38.9937333,-76.8830658
3461,35.4729886,-97.5170536
3462,30.2711286,-97.7436995
3464,35.2156532,-95.9258318
3467,42.0267703,-93.6170554
3468,41.3614401,-81.812912
3470,39.1014537,-84.5124602
3475,48.7544012,-122.4788361
3476,47.6571104,-117.2613936
3478,47.6571934,-117.4235106
3480,39.2806451,-80.3445341
3482,42.291707,-85.5872286
3483,32.753177,-97.3327459
3484,32.753177,-97.3327459
3485,32.753177,-97.3327459
3486,33.2101155,-97.7547552
3489,39.1404477,-121.6169108
3490,48.5465695,-117.905537
3491,38.861159,-90.0976069
3494,42.291707,-85.5872286
3495,37.3494528,-108.5840736
3496,37.1162505,-107.6339562
3499,26.0217447,-97.5341534
3501,30.6943566,-88.0430541
3503,38.5810606,-121.4938951
3505,38.6269929,-88.9456158
3506,33.7489924,-84.3902644
3508,34.0536909,-118.242766
3511,48.3840879,-113.972144
3513,46.5085066,-116.5509813
3515,40.0758595,-80.20946419
3516,45.926552,-116.1223265
3517,34.0536909,-118.242766
3519,35.9603948,-83.9210261
3522,37.5296593,-122.0402399
3523,32.4709761,-85.0007653
3524,38.8949924,-77.0365581
3525,42.8858503,-87.8631362
3527,31.8694349,-81.6077657
3528,31.2237434,-85.3933906
3535,30.3321838,-81.655651
3538,31.8694349,-81.6077657
3545,48.6205235,-116.4329606
3546,34.7464809,-92.2895948
3550,31.8694349,-81.6077657
3554,38.5810606,-121.4938951
3559,31.8694349,-81.6077657
3573,32.0376629,-93.7001819
3582,31.4584764,-85.6405865
3586,43.074761,-89.3837613
3591,45.7874957,-108.49607
3592,30.2711286,-97.7436995
3595,36.0301134,-114.9826194
3596,30.6765961,-86.6037748
3597,36.2831238,-92.4940505
3599,31.8694349,-81.6077657
3601,43.0349931,-87.922497
3602,25.7741728,-80.19362
3604,39.7683331,-86.1583502
3605,34.4458248,-119.0779359
3607,41.0272796,-78.4391876
3609,42.3222599,-83.1763145
3613,38.5889386,-89.990382
3617,33.4484367,-112.0741417
3624,25.7741728,-80.19362
3625,31.963778,-95.2705042
3626,39.7683331,-86.1583502
3629,41.308396,-79.3697665
3634,40.4416941,-79.9900861
3637,31.115857,-97.323811
3642,36.1672559,-115.1485163
3643,28.7997003,-98.7572472
3644,39.7683331,-86.1583502
3645,34.0966764,-117.7197785
3650,47.32121,-106.910461
3651,36.5945173,-94.3841031
3652,39.452786,-74.72469501
3654,41.3970137,-98.3961172
3657,43.534612,-72.356644
3659,39.896454,-82.4201539
3660,34.0561207,-118.4306347
3669,44.0505054,-123.0950506
3673,43.534612,-72.356644
3674,39.896454,-82.4201539
3675,41.0272796,-78.4391876
3678,30.5168639,-86.482172
3686,34.1779495,-82.3792463
3689,47.2495798,-122.4398746
3695,47.6571934,-117.4235106
3701,43.207178,-71.537476
3703,31.6165551,-96.935828
3708,43.534612,-72.356644
3714,38.9422718,-86.5080499
3758,40.7127281,-74.0060152
3768,36.1556805,-95.9929113
3770,44.9772995,-93.2654692
3778,39.7683331,-86.1583502
3781,40.8042674,-74.012084
3789,47.983451,-115.7693553
3793,47.2495798,-122.4398746
3796,42.9304376,-70.824896
3811,42.9304376,-70.824896
3812,34.0536909,-118.242766
3821,39.9527237,-75.1635262
3823,36.1622296,-86.7743531
3834,39.1014537,-84.5124602
3836,31.549333,-97.1466695
3838,27.9477595,-82.458444
3841,47.7587944,-116.7568579
3847,34.7464809,-92.2895948
3848,38.9742502,-94.6851702
3852,37.8044557,-122.2713563
3860,48.8636212,-117.3718881
3864,38.8949924,-77.0365581
3865,19.3758749,-99.2134148
3872,45.4997475,-122.4309766
3874,37.7790262,-122.4199061
3877,41.29843435,-72.93102343
3884,36.2675793,-94.4846602
3890,33.4484367,-112.0741417
3899,47.9479601,-116.7079745
3900,42.3602534,-71.0582912
3904,35.4729886,-97.5170536
3905,40.5886259,-83.1287349
3908,46.893876,-99.299833
3910,35.2189456,-98.6072856
3911,28.5421109,-81.3790304
3915,36.9762927,-121.9540577
3917,36.0301134,-114.9826194
3919,46.893876,-99.299833
3920,37.5385087,-77.43428
3924,39.7392364,-104.9848623
3926,33.8347516,-117.911732
3961,47.8278656,-122.3053932
3962,33.4484367,-112.0741417
3975,39.7589478,-84.1916069
3982,38.8949924,-77.0365581
3985,32.0809263,-81.0911768
3989,44.7377544,-89.0284421
3990,43.467517,-85.942001
3997,46.0491763,-118.3880417
3999,35.6876096,-105.9384569
4003,34.1335332,-86.8779268
4007,31.1171441,-97.727796
4008,47.6571934,-117.4235106
4009,39.4453393,-83.8285375
4012,28.5421109,-81.3790304
4021,47.32121,-106.910461
4024,29.7589382,-95.3676974
4028,39.7392364,-104.9848623
4029,35.2017495,-83.8240676
4031,35.0525759,-78.878292
4032,30.4380832,-84.2809332
4033,34.0536909,-118.242766
4036,41.4297694,-84.8713507
4037,32.753177,-97.3327459
4039,39.7392364,-104.9848623
4040,35.2017495,-83.8240676
4042,39.287002,-84.4852213
4043,39.5237259,-75.2360204
4046,32.753177,-97.3327459
4048,30.3674198,-89.0928155
4053,47.32121,-106.910461
4057,43.0281329,-73.3812231
4058,47.6742994,-116.7811531
4060,32.5221828,-93.7651944
4063,32.7174202,-117.1627728
4067,47.32121,-106.910461
4071,43.0281329,-73.3812231
4075,32.7762719,-96.7968559
4077,47.32121,-106.910461
4080,39.7683331,-86.1583502
4083,38.5810606,-121.4938951
4091,32.7762719,-96.7968559
4093,35.7478769,-95.3696909
4097,47.32121,-106.910461
4098,32.7174202,-117.1627728
4105,32.8383828,-116.9739167
4108,32.7174202,-117.1627728
4114,34.4428135,-86.92699139
4115,42.3315509,-83.0466403
4121,33.6856969,-117.8259819
4122,39.7392364,-104.9848623
4123,39.7392364,-104.9848623
4125,33.6952318,-80.2107811
4127,38.8949924,-77.0365581
4129,32.7174202,-117.1627728
4131,30.7485258,-94.000884
4132,30.7485258,-94.000884
4134,36.1672559,-115.1485163
4143,33.4889075,-112.9302819
4146,37.050096,-121.9905908
4148,34.0536909,-118.242766
4150,38.8949924,-77.0365581
4152,42.4057219,-82.1853837
4153,38.9013729,-77.2651762
4154,34.0536909,-118.242766
4155,47.6038321,-122.3300624
4157,44.9772995,-93.2654692
4158,37.7790262,-122.4199061
4159,39.7284945,-121.8374777
4163,37.050096,-121.9905908
4166,44.0505054,-123.0950506
4168,37.050096,-121.9905908
4172,37.8708393,-122.2728639
4173,34.1476452,-118.1444779
4176,33.7489924,-84.3902644
4179,38.8949924,-77.0365581
4180,39.0086411,-77.02063117
4182,38.77704615,-121.2959045
4183,33.6783336,-118.0000166
4186,33.7475203,-116.9719684
4187,33.7475203,-116.9719684
4189,33.7475203,-116.9719684
4190,42.1018764,-72.5886727
4191,42.1018764,-72.5886727
4192,42.1018764,-72.5886727
4193,39.2806451,-80.3445341
4194,41.5236436,-90.5776368
4198,40.2338438,-111.6585337
4199,40.2338438,-111.6585337
4200,34.0536909,-118.242766
4201,38.8949924,-77.0365581
4202,47.6038321,-122.3300624
4205,37.5385087,-77.43428
4208,47.1115335,-88.5867627
4209,41.8755616,-87.6244212
4210,40.1784279,-122.2359236
4212,42.58485235,-82.93482447
4215,41.6745591,-111.8331194
4216,33.4484367,-112.0741417
4217,33.5206824,-86.8024326
4220,29.7589382,-95.3676974
4223,43.5060862,-90.668186
4224,40.3492744,-74.6592958
4228,45.143731,-122.8553725
4229,34.63941505,-77.34201604
4231,42.0834335,-71.0183787
4232,36.1672559,-115.1485163
4236,33.4484367,-112.0741417
4239,42.4767131,-88.0950691
4241,40.4189566,-80.5895167
4243,47.6038321,-122.3300624
4245,41.1348213,-81.4848086
4247,34.6481318,-97.9580933
4250,37.9509324,-91.7708076
4251,41.724946,-73.24225915
4253,33.7489924,-84.3902644
4254,30.082475,-97.8417144
4256,46.601557,-120.5108421
4258,32.3512601,-95.3010624
4259,41.5051613,-81.6934446
4260,35.5197984,-84.3635338
4261,33.9137085,-98.4933873
4264,37.7790262,-122.4199061
4265,40.2024746,-77.171855
4267,47.6571934,-117.4235106
4271,36.1825728,-93.4046288
4274,31.4486118,-102.5163544
4275,32.2228765,-110.9748477
4276,33.77217945,-116.4952977
4277,47.6571934,-117.4235106
4278,47.6038321,-122.3300624
4279,64.837845,-147.716675
4280,36.9418115,-120.1714382
4283,32.753177,-97.3327459
4284,38.9819845,-77.12423413
4287,47.9673056,-122.2013998
4288,33.7489924,-84.3902644
4289,34.2978794,-83.8240663
4290,38.8949924,-77.0365581
4291,38.8949924,-77.0365581
4297,43.0349931,-87.922497
4303,41.8755616,-87.6244212
4306,44.9772995,-93.2654692
4308,41.8755616,-87.6244212
4309,41.8755616,-87.6244212
4310,41.8755616,-87.6244212
4311,38.7509488,-77.4752667
4315,35.1816047,-111.6165953
4317,44.0505054,-123.0950506
4318,43.549973,-96.7003324
4319,36.1672559,-115.1485163
4320,38.8949924,-77.0365581
4322,38.8339578,-104.8253485
4323,38.8339578,-104.8253485
4325,41.2230048,-111.9738429
4327,30.3321838,-81.655651
4329,40.6096698,-111.9391031
4330,40.6096698,-111.9391031
4331,40.7596198,-111.8867975
4333,40.727451,-115.48982
4334,42.4393707,-123.3272489
4335,33.5635206,-101.879336
4336,33.5635206,-101.879336
4337,33.5635206,-101.879336
4338,44.8107911,-73.0833607
4339,46.5927425,-112.036277
4341,39.5261206,-119.8126581
4345,36.1622296,-86.7743531
4351,46.877229,-96.789821
4353,44.9504037,-93.1015026
4355,41.8755616,-87.6244212
4358,30.4459596,-91.18738
4359,30.4459596,-91.18738
4361,40.7127281,-74.0060152
4364,30.4459596,-91.18738
4365,29.7589382,-95.3676974
4366,29.7589382,-95.3676974
4368,32.7174202,-117.1627728
4371,43.6166163,-116.200886
4372,48.2765903,-116.5532476
4373,47.6038321,-122.3300624
4375,47.6038321,-122.3300624
4376,35.4729886,-97.5170536
4378,36.8462923,-76.2929252
4380,32.2990384,-90.1847691
4383,34.0536909,-118.242766
4384,35.1490215,-90.0516285
4385,35.1490215,-90.0516285
4387,44.0505054,-123.0950506
4410,41.0246864,-81.0503164
4428,35.6009498,-82.5540161
4431,30.6943566,-88.0430541
4438,36.1622296,-86.7743531
4444,30.6943566,-88.0430541
4449,30.6943566,-88.0430541
4458,36.0726355,-79.7919754
4459,47.6742994,-116.7811531
4460,35.6009498,-82.5540161
4467,39.7392364,-104.9848623
4470,39.7459468,-75.546589
4473,35.3872218,-94.4248983
4474,35.9603948,-83.9210261
4479,39.5137752,-121.556359
4480,38.5634484,-75.5746476
4517,41.091121,-73.9196794
4554,40.7127281,-74.0060152
4584,40.7127281,-74.0060152
4585,29.7589382,-95.3676974
4586,47.32121,-106.910461
4587,47.32121,-106.910461
4589,39.2806451,-80.3445341
4591,39.2806451,-80.3445341
4595,31.20143875,-97.77175781
4596,37.8483224,-106.9254767
4597,31.1171441,-97.727796
4598,39.7392364,-104.9848623
4599,37.6922361,-97.3375448
4600,44.5678717,-91.6706955
4601,39.729432,-104.8319196
4602,39.7392364,-104.9848623
4603,48.7544012,-122.4788361
4604,48.7544012,-122.4788361
4605,48.7544012,-122.4788361
4606,48.7544012,-122.4788361
4608,47.4627356,-122.2559156
4610,38.6264178,-90.1998378
4612,39.0520902,-88.6029006
4613,40.9452911,-74.0735899
4614,38.8949924,-77.0365581
4615,47.32121,-106.910461
4617,47.32121,-106.910461
4618,47.32121,-106.910461
4619,47.32121,-106.910461
4620,47.32121,-106.910461
4621,47.32121,-106.910461
4622,47.32121,-106.910461
4623,47.32121,-106.910461
4626,47.32121,-106.910461
4627,47.32121,-106.910461
4628,47.32121,-106.910461
4631,45.8861603,-95.3795329
4635,40.7127281,-74.0060152
4640,25.9140256,-97.4890856
4642,41.8755616,-87.6244212
4645,40.7127281,-74.0060152
4656,34.0536909,-118.242766
4657,48.7544012,-122.4788361
4661,41.8755616,-87.6244212
4670,33.5206824,-86.8024326
4671,33.5206824,-86.8024326
4673,45.7874957,-108.49607
4674,48.3840879,-113.972144
4675,48.2022563,-114.316711
4679,39.5261206,-119.8126581
4683,40.6501038,-73.9495823
4688,32.9481789,-96.7297206
4691,30.2240897,-92.0198427
4705,41.0903087,-74.0148524
4706,40.7498243,-73.7976337
4707,41.0903087,-74.0148524
4712,40.7127281,-74.0060152
4714,38.8949924,-77.0365581
4715,40.7127281,-74.0060152
4744,37.0478983,-80.7797935
4745,37.7301385,-80.9057796
4757,40.7127281,-74.0060152
4761,40.7127281,-74.0060152
4764,40.7127281,-74.0060152
4794,41.7620447,-72.7420399
4795,18.1215622,-65.45746403
4975,40.7127281,-74.0060152
4976,40.6501038,-73.9495823
4981,41.8755616,-87.6244212
4998,46.2561815,-114.1546424
4999,47.5277147,-113.7106462
5001,47.32121,-106.910461
5010,47.6571934,-117.4235106
5021,38.8949924,-77.0365581
5046,41.7655582,-72.69061276
5048,35.1677771,-114.5730208
5050,35.5034635,-94.0510554
5052,38.8949924,-77.0365581
5055,41.7655582,-72.69061276
5056,41.7655582,-72.69061276
5060,45.5202471,-122.6741949
5064,45.5202471,-122.6741949
5065,36.6467816,-92.4575198
5067,35.4729886,-97.5170536
5070,34.2148853,-118.4998204
5071,48.7413268,-117.4204837
5074,37.7790262,-122.4199061
5075,37.7790262,-122.4199061
5079,47.6038321,-122.3300624
5080,47.6038321,-122.3300624
5082,47.6038321,-122.3300624
5084,47.6571934,-117.4235106
5085,39.9527237,-75.1635262
5086,47.6038321,-122.3300624
5088,39.2908816,-76.610759
5090,34.0536909,-118.242766
5093,35.189443,-114.0530065
5095,33.4484367,-112.0741417
5101,32.3669656,-86.3006485
5102,35.3872218,-94.4248983
5103,35.3872218,-94.4248983
5104,39.1501662,-123.2077861
5105,41.0903087,-74.0148524
5106,40.7127281,-74.0060152
5111,40.7127281,-74.0060152
5112,40.7127281,-74.0060152
5115,40.7127281,-74.0060152
5116,40.7127281,-74.0060152
5118,40.7127281,-74.0060152
5123,41.7655582,-72.69061276
5124,41.7620447,-72.7420399
5125,41.7655582,-72.69061276
5126,41.7655582,-72.69061276
5128,41.7620447,-72.7420399
5130,41.7620447,-72.7420399
5133,41.7655582,-72.69061276
5134,41.7620447,-72.7420399
5135,41.7620447,-72.7420399
5137,41.8755616,-87.6244212
5140,41.8755616,-87.6244212
5143,41.8755616,-87.6244212
5144,41.8755616,-87.6244212
5145,41.8755616,-87.6244212
5150,25.7741728,-80.19362
5151,25.7741728,-80.19362
5158,42.3602534,-71.0582912
5168,29.7589382,-95.3676974
